filename,accesses,hits
400.perlbench-41B,1813661,615801
400.perlbench-50B,1360681,502868
401.bzip2-226B,10478959,8381323
401.bzip2-277B,9896426,6803128
401.bzip2-38B,9108864,7746425
401.bzip2-7B,9791130,8586125
403.gcc-16B,32467893,16457852
403.gcc-17B,12488353,12061697
403.gcc-48B,882433,257399
410.bwaves-1963B,29810140,1784737
410.bwaves-2097B,29810043,1784107
410.bwaves-945B,105763,50531
416.gamess-875B,37451,34897
429.mcf-184B,155469652,48684951
429.mcf-192B,157463838,47014052
429.mcf-217B,79191693,2763198
429.mcf-22B,63969301,19402092
429.mcf-51B,129239105,41284737
433.milc-127B,37158083,9362366
433.milc-274B,33534597,9529588
433.milc-337B,48770345,13578658
434.zeusmp-10B,8037136,5151185
435.gromacs-111B,2182105,1317977
435.gromacs-134B,2086826,1224533
435.gromacs-226B,1816132,1143231
435.gromacs-228B,1664874,1190076
436.cactusADM-1804B,10074401,2295387
437.leslie3d-134B,15020552,4498141
437.leslie3d-149B,15034911,4466948
437.leslie3d-232B,14351640,3969013
437.leslie3d-265B,14549964,4181477
437.leslie3d-271B,14666163,4291132
437.leslie3d-273B,14757464,4068124
444.namd-120B,257161,189962
444.namd-166B,647045,253487
444.namd-23B,622623,231033
444.namd-321B,598478,209193
444.namd-33B,614487,220178
444.namd-426B,631147,231029
444.namd-44B,106271,35116
445.gobmk-17B,3874960,2077162
445.gobmk-2B,1064999,848086
445.gobmk-30B,2609292,2104742
445.gobmk-36B,4034554,2945194
447.dealII-3B,2676160,1780471
450.soplex-247B,83457225,36494824
450.soplex-92B,59519747,26034365
453.povray-252B,12219,7809
453.povray-576B,12599,10974
453.povray-800B,6502,4595
453.povray-887B,6111,4483
454.calculix-104B,8428,1822
454.calculix-460B,7604783,6377417
456.hmmer-191B,8049028,6789198
456.hmmer-327B,8122146,6616925
456.hmmer-88B,8119701,6254850
458.sjeng-1088B,1037175,519809
458.sjeng-283B,943889,441877
458.sjeng-31B,917130,437660
458.sjeng-767B,1065204,499579
459.GemsFDTD-1169B,30766719,9940593
459.GemsFDTD-1211B,25774694,8737163
459.GemsFDTD-1320B,27407337,9326110
459.GemsFDTD-1418B,28102586,8908766
459.GemsFDTD-1491B,23935568,7322788
459.GemsFDTD-765B,23986602,7342172
462.libquantum-1343B,42281796,9168563
462.libquantum-714B,55713901,17212020
464.h264ref-30B,3251404,2403676
464.h264ref-57B,3361411,2455216
464.h264ref-64B,3392068,2475918
464.h264ref-97B,3476561,2574175
465.tonto-1914B,507121,502799
465.tonto-44B,386755,380258
470.lbm-1274B,77841108,33380563
471.omnetpp-188B,44195869,19764805
473.astar-153B,5680988,2459430
473.astar-359B,98467948,42086494
473.astar-42B,23644039,20059660
481.wrf-1170B,11170081,4274472
481.wrf-1254B,4342106,1351168
481.wrf-1281B,11547617,3311871
481.wrf-196B,14097378,3464456
481.wrf-455B,12423534,3525668
481.wrf-816B,12715395,3296386
482.sphinx3-1100B,19849780,2427132
482.sphinx3-1297B,21812048,4130593
482.sphinx3-1395B,21472950,4397719
482.sphinx3-1522B,19733220,2702322
482.sphinx3-234B,19446918,2103061
482.sphinx3-417B,22514763,3134569
483.xalancbmk-127B,42217127,2153375
483.xalancbmk-716B,7006046,4194423
483.xalancbmk-736B,6728831,3856668
600.perlbench_s-1273B,829890,300784
600.perlbench_s-210B,1399984,508265
600.perlbench_s-570B,1066245,378690
602.gcc_s-1850B,26799469,95899
602.gcc_s-2226B,104134392,349789
602.gcc_s-2375B,4836377,4036124
602.gcc_s-734B,12530640,118102
603.bwaves_s-1080B,927123,440953
603.bwaves_s-1740B,29243325,738667
603.bwaves_s-2609B,29243614,738748
603.bwaves_s-2931B,30920362,10474492
603.bwaves_s-3699B,495727,224390
603.bwaves_s-5359B,358735,170345
603.bwaves_s-891B,30704470,1408137
605.mcf_s-1152B,84009150,44973746
605.mcf_s-1536B,222776911,138127543
605.mcf_s-1554B,245139859,8958525
605.mcf_s-1644B,20003474,13817666
605.mcf_s-472B,72662717,7019774
605.mcf_s-484B,71855003,6612249
605.mcf_s-665B,51730293,28812853
605.mcf_s-782B,215737310,90365813
605.mcf_s-994B,45536703,12265932
607.cactuBSSN_s-2421B,21014342,9478134
607.cactuBSSN_s-3477B,8954178,4993682
607.cactuBSSN_s-4004B,8864752,4884645
607.cactuBSSN_s-4248B,1418771,106
619.lbm_s-2676B,120336879,53348560
619.lbm_s-2677B,108578449,48123199
619.lbm_s-3766B,127158839,56351814
619.lbm_s-4268B,101726980,45099833
620.omnetpp_s-141B,30207255,14855642
620.omnetpp_s-874B,27605967,13728701
621.wrf_s-575B,22682757,8858216
621.wrf_s-6673B,5727096,2645489
621.wrf_s-8065B,10578284,4051654
621.wrf_s-8100B,13823990,5747020
623.xalancbmk_s-10B,37798335,3070836
623.xalancbmk_s-165B,36049337,35518661
623.xalancbmk_s-202B,39124826,33646172
623.xalancbmk_s-325B,5553757,3515558
623.xalancbmk_s-592B,7442477,5194621
623.xalancbmk_s-700B,7415636,5503443
625.x264_s-12B,1997674,774913
625.x264_s-18B,2591549,977366
625.x264_s-20B,1994991,759971
625.x264_s-33B,2393839,896172
625.x264_s-39B,2307849,859243
627.cam4_s-490B,31173259,21189128
627.cam4_s-573B,16754511,8563514
628.pop2_s-17B,14070664,8680727
631.deepsjeng_s-928B,714445,320726
638.imagick_s-10316B,87568,28604
638.imagick_s-4128B,166676,10859
638.imagick_s-824B,622883,311441
641.leela_s-1052B,1812693,647081
641.leela_s-1083B,443612,167464
641.leela_s-149B,101245,94462
641.leela_s-334B,942092,717190
641.leela_s-602B,594697,546150
641.leela_s-800B,246164,124310
641.leela_s-862B,158295,75624
644.nab_s-12459B,1358854,1125234
644.nab_s-12521B,1651813,290286
644.nab_s-5853B,313052,16690
644.nab_s-7928B,1053890,288208
644.nab_s-9322B,1094472,40346
648.exchange2_s-1227B,345,0
648.exchange2_s-1247B,364,0
648.exchange2_s-1511B,34,0
648.exchange2_s-1699B,7,0
648.exchange2_s-1712B,253,0
648.exchange2_s-210B,17,0
648.exchange2_s-353B,161,0
648.exchange2_s-387B,95,0
648.exchange2_s-584B,58,0
648.exchange2_s-72B,96,0
649.fotonik3d_s-10881B,34433308,10698040
649.fotonik3d_s-1176B,27654339,14289167
649.fotonik3d_s-1B,163122,86262
649.fotonik3d_s-7084B,37011236,12372089
649.fotonik3d_s-8225B,27632976,14243219
654.roms_s-1007B,19970955,13403639
654.roms_s-1021B,96739,64136
654.roms_s-1070B,44412043,8650606
654.roms_s-1390B,51141128,11725077
654.roms_s-1613B,42361996,9635611
654.roms_s-293B,31640936,11420503
654.roms_s-294B,2234532,411896
654.roms_s-523B,44155020,14264459
654.roms_s-842B,28128062,6551315
657.xz_s-2302B,10007983,6697389
657.xz_s-3167B,5928500,3834087
657.xz_s-4994B,2177877,1042866
657.xz_s-56B,627619,0
