filename,accesses,hits
400.perlbench-41B,8507261,6979744
400.perlbench-50B,6479944,5344527
401.bzip2-226B,24750006,17070255
401.bzip2-277B,14353878,6360035
401.bzip2-38B,21671411,15245819
401.bzip2-7B,23430088,16482579
403.gcc-16B,34177648,10066864
403.gcc-17B,13371519,2319057
403.gcc-48B,2092223,1337877
410.bwaves-1963B,31036034,3006392
410.bwaves-2097B,31033044,3003632
410.bwaves-945B,106227,50582
416.gamess-875B,3272655,3243459
429.mcf-184B,214140685,69497256
429.mcf-192B,217740240,60332838
429.mcf-217B,80222484,3710582
429.mcf-22B,65743281,20572725
429.mcf-51B,188265888,82839726
433.milc-127B,37176046,9369134
433.milc-274B,33555279,9387569
433.milc-337B,48810745,13595106
434.zeusmp-10B,36669433,30765975
435.gromacs-111B,12231826,10563625
435.gromacs-134B,12076233,10471083
435.gromacs-226B,14304057,12936204
435.gromacs-228B,17171882,15948830
436.cactusADM-1804B,13976928,6181683
437.leslie3d-134B,19556630,8045843
437.leslie3d-149B,19540502,7983960
437.leslie3d-232B,18867530,7679217
437.leslie3d-265B,18891723,7731685
437.leslie3d-271B,19375328,8076637
437.leslie3d-273B,18838608,7503935
444.namd-120B,3266436,3051383
444.namd-166B,6083292,5620841
444.namd-23B,6994659,6562472
444.namd-321B,7816676,7397786
444.namd-33B,5625762,5190274
444.namd-426B,7919792,7480840
444.namd-44B,10990942,10914274
445.gobmk-17B,12306439,10252293
445.gobmk-2B,9009387,8314641
445.gobmk-30B,13562939,11815530
445.gobmk-36B,13543273,11114996
447.dealII-3B,8104576,5994123
450.soplex-247B,108398126,47984034
450.soplex-92B,76485283,33225480
453.povray-252B,15254647,15243810
453.povray-576B,14226633,14216073
453.povray-800B,12786913,12781468
453.povray-887B,14676132,14671680
454.calculix-104B,41553,34590
454.calculix-460B,23253572,17139968
456.hmmer-191B,10136472,6022553
456.hmmer-327B,10100808,5933785
456.hmmer-88B,10097545,5940354
458.sjeng-1088B,1566433,1015678
458.sjeng-283B,1696352,1161165
458.sjeng-31B,1692107,1181235
458.sjeng-767B,1729054,1129708
459.GemsFDTD-1169B,31918743,10494250
459.GemsFDTD-1211B,29674593,11969211
459.GemsFDTD-1320B,29027359,10362240
459.GemsFDTD-1418B,33393141,13649647
459.GemsFDTD-1491B,35798150,18699024
459.GemsFDTD-765B,35911951,18784852
462.libquantum-1343B,42287823,9174590
462.libquantum-714B,55709724,17207843
464.h264ref-30B,5235321,2987617
464.h264ref-57B,5249143,2934576
464.h264ref-64B,5237832,2891708
464.h264ref-97B,5344925,2940675
465.tonto-1914B,14610924,14223456
465.tonto-44B,3663659,3330040
470.lbm-1274B,135596638,91117296
471.omnetpp-188B,51270698,20346209
473.astar-153B,10839482,7346012
473.astar-359B,120248265,61535987
473.astar-42B,56936127,39568084
481.wrf-1170B,15736503,8171780
481.wrf-1254B,9003483,6002098
481.wrf-1281B,15860570,7552404
481.wrf-196B,20728239,9986087
481.wrf-455B,17105961,8123347
481.wrf-816B,18726567,9181518
482.sphinx3-1100B,23638065,5221958
482.sphinx3-1297B,26444480,6726026
482.sphinx3-1395B,25650844,6213493
482.sphinx3-1522B,22689997,4438947
482.sphinx3-234B,23970126,5655638
482.sphinx3-417B,28694115,8132196
483.xalancbmk-127B,43932149,2002247
483.xalancbmk-716B,20658947,16785558
483.xalancbmk-736B,24117863,20452767
600.perlbench_s-1273B,3654276,2956260
600.perlbench_s-210B,6583826,5408229
600.perlbench_s-570B,4556571,3662350
602.gcc_s-1850B,36310889,9549039
602.gcc_s-2226B,104424891,472744
602.gcc_s-2375B,19835634,16118890
602.gcc_s-734B,25198473,12780050
603.bwaves_s-1080B,934008,447666
603.bwaves_s-1740B,30759826,2247708
603.bwaves_s-2609B,30766131,2253744
603.bwaves_s-2931B,34448423,12459797
603.bwaves_s-3699B,500443,229088
603.bwaves_s-5359B,363936,175109
603.bwaves_s-891B,32189625,2883420
605.mcf_s-1152B,106798654,27659571
605.mcf_s-1536B,235171474,20202988
605.mcf_s-1554B,245179439,1056852
605.mcf_s-1644B,49609969,32038001
605.mcf_s-472B,74396503,8669674
605.mcf_s-484B,72562593,7285356
605.mcf_s-665B,73964939,26887385
605.mcf_s-782B,246406452,32816260
605.mcf_s-994B,62620642,20267176
607.cactuBSSN_s-2421B,183188796,163948210
607.cactuBSSN_s-3477B,140599011,132540533
607.cactuBSSN_s-4004B,134213375,126254066
607.cactuBSSN_s-4248B,1418781,116
619.lbm_s-2676B,204307606,135762825
619.lbm_s-2677B,184386230,122537585
619.lbm_s-3766B,215959145,143525689
619.lbm_s-4268B,172706804,114762392
620.omnetpp_s-141B,42528094,22159396
620.omnetpp_s-874B,41875997,23386211
621.wrf_s-575B,33169857,16997500
621.wrf_s-6673B,10350350,6569804
621.wrf_s-8065B,14970203,7475382
621.wrf_s-8100B,23555079,13874824
623.xalancbmk_s-10B,46240341,9038031
623.xalancbmk_s-165B,37886635,1876777
