Max Distance:	4294967296	Refresh Period:	2147483648	RPeriod Mask:	7fffffff

0	29930720	16412032
1	11768192	5262272
2	2740240	1940592
3	3174000	912752
4	2266384	1343488
5	3985872	3631536
6	2102960	1035824
7	3213712	1631648
8	1605648	1449376
9	1739568	693120
10	918672	576352
11	1028080	822032
12	767616	571696
13	1105520	907440
14	1081920	823392
15	1185824	819936
16	274832	13616
17	609232	455392
18	679792	522048
19	86016	57888
20	391216	238880
21	325408	270464
22	64976	64000
23	471168	461008
24	245488	93056
25	221920	217376
26	296896	241968
27	598304	148304
28	20576	13968
29	264592	52864
30	386672	1360
31	402560	300320
32	104096	1840
33	62208	9136
34	386112	201856
35	308416	157712
36	451024	450624
37	271376	219952
38	157648	157344
39	105712	54480
40	9552	8976
41	2704	640
42	67520	16880
43	259568	156560
44	69952	68832
45	92224	86400
46	1840	1200
47	112768	8528
48	103984	3408
49	153072	151008
50	1952	800
51	9136	7904
52	4080	3152
53	62000	11184
54	3120	160
55	1680	656
56	59408	58960
57	52256	51584
58	53120	51456
59	5216	4528
60	3296	1616
61	10848	10368
62	104832	102464
63	103968	102320
64	517360	264880
66	120848	112352
68	308416	114080
70	608096	353520
72	423104	322864
74	210256	158832
76	204880	152432
78	63136	9504
80	336912	232720
82	223440	218080
84	153136	108112
86	117120	57456
88	63648	59840
90	71952	68256
92	136480	134176
94	139216	74896
96	30080	29024
98	5664	2592
100	2816	2240
102	138240	57696
104	154432	153008
106	29872	27744
108	128080	126256
110	9024	7872
112	96752	95680
114	54896	54672
116	19408	18960
118	148192	146416
120	287424	285520
122	185120	184384
124	32992	31664
126	24976	23088
128	39968	37696
132	30720	27552
136	100208	96976
140	18960	16816
144	85184	84416
148	195920	194080
152	3488	2288
156	243936	242928
160	3120	1984
164	3408	1920
168	4640	3152
172	3008	1360
176	100720	1920
180	159248	100992
184	148176	98144
188	63056	61152
192	120160	95888
196	30720	3184
200	2512	1264
204	9808	7840
208	109280	107376
212	140032	139296
216	99360	97824
220	81696	80800
224	144928	144048
228	47824	46896
232	70000	68448
236	81168	79936
240	67472	65712
244	65968	64176
248	85936	85216
252	94944	87904
256	80176	78752
264	342272	272112
272	365424	239872
280	53584	3248
288	75376	14752
296	193184	130320
304	172048	83536
312	127280	81168
320	83920	7712
328	73280	44272
336	309856	306768
344	531008	528304
352	177824	175312
360	5200	3088
368	5584	3072
376	7200	4960
384	95248	93616
392	20640	18912
400	100656	76192
408	95952	69408
416	3808	2368
424	3344	1584
432	3008	1232
440	2128	928
